url,title,release_date,director,producer,starring,language,imdb_link,tmdb_link
https://oldnothi.bfa.gov.bd/film-details/23,Mukh And Mukhosh,03 August 1956,Abdul Jabbar Khan,Abdul Jabbar Khan,"Purnima Sen Gupta, Atiya, Saifuddin, Jahrat Ara, Inam Ahmed",Bengali,https://imdb.com/title/tt0403327,https://www.themoviedb.org/movie/93085
https://oldnothi.bfa.gov.bd/film-details/24,Jagho Hua Saveya,08 May 1959,A.J. Kardar,Noman Taseer,"Anis, Tripti Mitra, Jurain, Shahana",Bengali,https://imdb.com/title/tt0375865,
https://oldnothi.bfa.gov.bd/film-details/54,Paise,28 August 1964,Mustafiz,,"Azim, Sujata, Shabnam, Shaukat Akbar",Bengali,https://imdb.com/title/tt1935782,
https://oldnothi.bfa.gov.bd/film-details/56,Bondhon,06 November 1964,Kazi Zahir,,"Golam Mostafa, Chitra Sinha, Anwar Hossain, Rozi, Inam Ahmed",Bengali,https://imdb.com/title/tt26755021,
https://oldnothi.bfa.gov.bd/film-details/55,Megh Vanga Rod,02 October 1964,,,,Bengali,https://imdb.com/title/tt6187368,
https://oldnothi.bfa.gov.bd/film-details/57,Sit Bikel,13 November 1964,Mohiuddin,,"Nazneen, Nasima Khan, Golam Mostafa, Anwar Hossain",Bengali,https://imdb.com/title/tt5967444,
https://oldnothi.bfa.gov.bd/film-details/58,Milan,04 December 1964,SM Parvez,,"Shaukat Akbar, Diba, Mehfuz, Jalil, Qazi Khaleq",Bengali,,https://www.themoviedb.org/movie/50199
https://oldnothi.bfa.gov.bd/film-details/59,Ekaler Rupkotha,02 February 1965,Ibn Mizan,,"Rosi, Bari, Jayanti, Anwara, Raj, Samad, Rabeya",Bengali,https://imdb.com/title/tt6187714,
https://oldnothi.bfa.gov.bd/film-details/60,Sagar,13 April 1965,Ehtesham,,"Azim, Shawkat Akbar, Haroon, Inam Ahmed",Bengali,https://imdb.com/title/tt0216171,
https://oldnothi.bfa.gov.bd/film-details/61,Bahana,16 April 1965,Zahir Raihan,,"Rahman, Kabri, Khalil, Javed Rahim",Bengali,https://imdb.com/title/tt1243992,https://www.themoviedb.org/movie/708642
https://oldnothi.bfa.gov.bd/film-details/62,Maalan,26 December 1964,Kaiser Pasha,,"Nasima Khan, Deep, Priya Asghar, Jalil Afghani",Bengali,https://imdb.com/title/tt17057616,
https://oldnothi.bfa.gov.bd/film-details/64,Desh Bidesh,02 January 1987,,,"Shabana, Jasim, Anjana",Bengali,https://imdb.com/title/tt33509254,
https://oldnothi.bfa.gov.bd/film-details/65,Protirode,02 January 1987,,,"Anjana, Zafar Iqbal",Bengali,https://imdb.com/title/tt12753140,
https://oldnothi.bfa.gov.bd/film-details/66,Awaz,02 January 1987,,,"Babita, Alamgir, Nuton",Bengali,https://imdb.com/title/tt0158694,
https://oldnothi.bfa.gov.bd/film-details/67,Bebodan,16 January 1987,,,"Nadem, Sabita, Nuton",Bengali,https://imdb.com/title/tt5203748,
https://oldnothi.bfa.gov.bd/film-details/75,Hashi,23 January 1987,,,"Iliyas Kanchan, Diti, Subrata, Manju Dutta",Bengali,https://imdb.com/title/tt0289054,
https://oldnothi.bfa.gov.bd/film-details/77,Super Star,23 January 1987,,,"Mahmud Kali, Julia, Anjana",Bengali,https://imdb.com/title/tt0420676,
https://oldnothi.bfa.gov.bd/film-details/74,Fuler Mala,16 January 1987,,,"Sandhya Roy, Alamgir, Subarna, Zafar Iqbal",Bengali,https://imdb.com/title/tt8365172,
https://oldnothi.bfa.gov.bd/film-details/78,Prem Birah,23 January 1987,,,"Babita, Zafar Iqbal, Nuton",Bengali,https://imdb.com/title/tt0164114,
https://oldnothi.bfa.gov.bd/film-details/80,Porosh Pathor,13 February 1987,,,"Sujan, Deepa Saha, Aruna Bishwas",Bengali,https://imdb.com/title/tt0052046,
https://oldnothi.bfa.gov.bd/film-details/92,Mahuya Sundori,30 October 1987,,,"Anju Ghosh, Javed, Dilara",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/95,Padma Gokhra,06 February 1987,,,"Sohel Rana, Anju Ghosh",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/97,Raj Laxmi Srikanto,13 February 1987,,,"Shabana, Bulbul Ahmed",Bengali,https://imdb.com/title/tt5245160,
https://oldnothi.bfa.gov.bd/film-details/96,Meg Mala,06 February 1987,,,"Rani, Babita, Rita",Bengali,https://imdb.com/title/tt0807002,
